Year,League,Name,Age,Team,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,Hits/AB,OBP,SLG,OPS,TB
1998,AL,Trey Beamon,24,DET,28,48,42,4,11,4,0,0,2,5,13,0.262,0.34,0.357,0.698,15
1998,AL,Rich Becker,26,BAL,79,139,113,22,23,1,0,3,11,22,34,0.204,0.343,0.292,0.635,33
1998,AL,Tim Belcher,36,KCR,2,6,5,1,1,0,0,0,0,0,2,0.2,0.2,0.2,0.4,1
1998,AL,David Bell,25,CLE,107,370,340,37,89,21,2,10,41,22,54,0.262,0.306,0.424,0.73,144
1998,AL,David Bell,25,SEA,21,85,80,11,26,8,0,0,8,5,8,0.325,0.365,0.425,0.79,34
1998,AL,Albert Belle,31,CHW,163,706,609,113,200,48,2,49,152,81,84,0.328,0.399,0.655,1.055,399
1998,AL,Mark Bellhorn,23,OAK,11,16,12,1,1,1,0,0,1,3,4,0.083,0.313,0.167,0.479,2
1998,AL,Carlos Beltran,21,KCR,14,63,58,12,16,5,3,0,7,3,12,0.276,0.317,0.466,0.783,27
1998,AL,Armando Benitez,25,BAL,6,0,0,0,0,0,0,0,0,0,0,,,,,0
1998,AL,Mike Benjamin,32,BOS,124,385,349,46,95,23,0,4,39,15,73,0.272,0.312,0.372,0.684,130
1998,AL,Jason Bere,27,CHW,1,0,0,0,0,0,0,0,0,0,0,,,,,0
1998,AL,Geronimo Berroa,33,CLE,20,72,65,6,13,3,1,0,3,7,17,0.2,0.278,0.277,0.555,18
1998,AL,Geronimo Berroa,33,DET,52,145,126,17,30,4,1,1,10,17,27,0.238,0.338,0.31,0.647,39
1998,AL,Brian Bevil,26,KCR,2,0,0,0,0,0,0,0,0,0,0,,,,,0
1998,AL,Mike Blowers,33,OAK,129,455,409,56,97,24,2,11,71,39,116,0.237,0.302,0.386,0.689,158
1998,AL,Doug Bochtler,27,DET,1,0,0,0,0,0,0,0,0,0,0,,,,,0
1998,AL,Wade Boggs,40,TBD,123,483,435,51,122,23,4,7,52,46,54,0.28,0.348,0.4,0.748,174
1998,AL,Frank Bolick,32,ANA,21,56,45,3,7,2,0,1,2,11,8,0.156,0.321,0.267,0.588,12
1998,AL,Ricky Bones,29,KCR,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,AL,Pat Borders,35,CLE,54,175,160,12,38,6,0,0,6,10,40,0.238,0.289,0.275,0.564,44
1998,AL,Mike Bordick,32,BAL,151,533,465,59,121,29,1,13,51,39,65,0.26,0.328,0.411,0.739,191
1998,AL,Joe Borowski,27,NYY,1,0,0,0,0,0,0,0,0,0,0,,,,,0
1998,AL,Rafael Bournigal,32,OAK,85,229,209,23,47,11,0,1,19,10,11,0.225,0.265,0.292,0.556,61
1998,AL,Darren Bragg,28,BOS,129,465,409,51,114,29,3,8,57,42,99,0.279,0.351,0.423,0.774,173
1998,AL,Jeff Branson,31,CLE,63,105,100,6,20,4,1,1,9,3,21,0.2,0.221,0.29,0.511,29
1998,AL,Russell Branyan,22,CLE,1,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0
1998,AL,Doug Brocail,31,DET,2,0,0,0,0,0,0,0,0,0,0,,,,,0
1998,AL,Scott Brosius,31,NYY,152,603,530,86,159,34,0,19,98,52,97,0.3,0.371,0.472,0.843,250
1998,AL,Dee Brown,20,KCR,5,3,3,2,0,0,0,0,0,0,1,0,0,0,0,0
1998,AL,Kevin Brown,25,TOR,52,128,110,17,29,7,1,2,15,9,31,0.264,0.32,0.4,0.72,44
1998,AL,Mike Buddie,27,NYY,1,0,0,0,0,0,0,0,0,0,0,,,,,0
1998,AL,Damon Buford,28,BOS,86,241,216,37,61,14,4,10,42,22,43,0.282,0.349,0.523,0.872,113
1998,AL,Jay Buhner,33,SEA,72,286,244,33,59,7,1,15,45,38,71,0.242,0.344,0.463,0.807,113
1998,AL,Dave Burba,31,CLE,2,6,6,1,1,0,0,1,2,0,1,0.167,0.167,0.667,0.833,4
1998,AL,John Burkett,33,TEX,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1998,AL,Homer Bush,25,NYY,45,78,71,17,27,3,0,1,5,5,19,0.38,0.421,0.465,0.886,33
1998,AL,Rich Butler,25,TBD,72,237,217,25,49,3,3,7,20,15,37,0.226,0.278,0.364,0.643,79
1998,AL,Jolbert Cabrera,25,CLE,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0
1998,AL,Greg Cadaret,36,ANA,4,0,0,0,0,0,0,0,0,0,0,,,,,0
1998,AL,Miguel Cairo,24,TBD,150,558,515,49,138,26,5,5,46,24,44,0.268,0.307,0.367,0.674,189
