Year,League,Name,Age,Team,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,Hits/AB,OBP,SLG,OPS,TB
2005,NL,Roger Cedeno,30,STL,37,61,57,4,9,1,0,0,8,2,6,0.158,0.197,0.175,0.372,10
2005,NL,Carlos Delgado,33,FLA,144,616,521,81,157,41,3,33,115,72,121,0.301,0.399,0.582,0.981,303
2005,NL,Cliff Floyd,32,NYM,150,626,550,85,150,22,2,34,98,63,98,0.273,0.358,0.505,0.863,278
2005,NL,Nomar Garciaparra,31,CHC,62,247,230,28,65,12,0,9,30,12,24,0.283,0.32,0.452,0.772,104
2005,NL,Troy Glaus,28,ARI,149,634,538,78,139,29,1,37,97,84,145,0.258,0.363,0.522,0.885,281
2005,NL,Luis Gonzalez,37,ARI,155,672,579,90,157,37,0,24,79,78,90,0.271,0.366,0.459,0.825,266
2005,NL,Luis Gonzalez,26,COL,128,442,404,51,118,25,0,9,44,20,63,0.292,0.333,0.421,0.753,170
2005,NL,Shawn Green,32,ARI,158,656,581,87,166,37,4,22,73,62,95,0.286,0.355,0.477,0.832,277
2005,NL,Jose Guillen,29,WSN,148,611,551,81,156,32,2,24,76,31,102,0.283,0.338,0.479,0.817,264
2005,NL,Jerry Hairston,29,CHC,114,430,380,51,99,25,2,4,30,31,46,0.261,0.336,0.368,0.704,140
2005,NL,Todd Helton,31,COL,144,626,509,92,163,45,2,20,79,106,80,0.32,0.445,0.534,0.979,272
2005,NL,Geoff Jenkins,30,MIL,148,618,538,87,157,42,1,25,86,56,138,0.292,0.375,0.513,0.888,276
2005,NL,Ryan Klesko,34,SDP,137,520,443,61,110,19,1,18,58,75,80,0.248,0.358,0.418,0.775,185
2005,NL,Derrek Lee,29,CHC,158,691,594,120,199,50,3,46,107,85,109,0.335,0.418,0.662,1.08,393
2005,NL,Paul Lo Duca,33,FLA,132,496,445,45,126,23,1,6,57,34,31,0.283,0.334,0.38,0.714,169
2005,NL,Javier Lopez,27,COL,3,0,0,0,0,0,0,0,0,0,0,,,,,0
2005,NL,Javier Lopez,27,ARI,29,0,0,0,0,0,0,0,0,0,0,,,,,0
2005,NL,Derek Lowe,32,LAD,33,76,65,3,10,2,0,0,4,2,17,0.154,0.179,0.185,0.364,12
2005,NL,Raul Mondesi,34,ATL,41,155,142,17,30,7,1,4,17,12,35,0.211,0.271,0.359,0.63,51
2005,NL,Corey Patterson,25,CHC,126,483,451,47,97,15,3,13,34,23,118,0.215,0.254,0.348,0.602,157
2005,NL,Aramis Ramirez,27,CHC,123,506,463,72,140,30,0,31,92,35,60,0.302,0.358,0.568,0.926,263
2005,NL,Benito Santiago,40,PIT,6,23,23,1,6,1,1,0,0,0,3,0.261,0.261,0.391,0.652,9
